track_name,name_of_artists,album_name,album_release_date,number_of_tracks_in_album,track_duration_ms,track_popularity
Someone You Loved,['Lewis Capaldi'],Divinely Uninspired To A Hellish Extent,2019-05-17,12,182160,91
Frágil,"['Yahritza Y Su Esencia', 'Grupo Frontera']",Frágil,2023-04-07,1,160517,93
BESO,"['ROSALÍA', 'Rauw Alejandro']",RR,2023-03-24,3,194543,96
Tá OK,"['DENNIS', 'MC Kevin o Chris']",Tá OK,2023-05-04,1,92093,92
BABY HELLO,"['Rauw Alejandro', 'Bizarrap']",BABY HELLO,2023-06-23,1,222461,84
People,['Libianca'],People,2022-12-06,1,184791,94
Take Two,['BTS'],Take Two,2023-06-09,1,229953,95
vampire,['Olivia Rodrigo'],vampire,2023-06-30,1,219724,0
Ella Baila Sola,"['Eslabon Armado', 'Peso Pluma']",DESVELADO,2023-04-28,16,165671,94
Cruel Summer,['Taylor Swift'],Lover,2019-08-23,18,178426,97
Flooded The Face,['Lil Uzi Vert'],Pink Tape,2023-06-30,26,192727,0
WHERE SHE GOES,['Bad Bunny'],WHERE SHE GOES,2023-05-18,1,231704,99
Flowers,['Miley Cyrus'],Endless Summer Vacation,2023-03-10,13,200600,91
La Bebe - Remix,"['Yng Lvcas', 'Peso Pluma']",La Bebe (Remix),2023-03-17,2,234352,100
LADY GAGA,"['Peso Pluma', 'Gabito Ballesteros', 'Junior H']",GÉNESIS,2023-06-29,17,212878,0
un x100to,"['Grupo Frontera', 'Bad Bunny']",un x100to,2023-04-17,1,194563,99
MOJABI GHOST,"['Tainy', 'Bad Bunny']",DATA,2023-06-29,19,232131,0
Aye (feat. Travis Scott),"['Lil Uzi Vert', 'Travis Scott']",Pink Tape,2023-06-30,26,207835,0
Suicide Doors,['Lil Uzi Vert'],Pink Tape,2023-06-30,26,259079,0
Daylight,['David Kushner'],Daylight,2023-04-14,1,212953,98
As It Was,['Harry Styles'],Harry's House,2022-05-20,13,167303,94
Kill Bill,['SZA'],SOS,2022-12-08,23,153946,94
Cupid - Twin Ver.,['FIFTY FIFTY'],The Beginning: Cupid,2023-02-24,3,174253,99
Sprinter,"['Dave', 'Central Cee']",Sprinter,2023-06-01,1,229133,95
SABOR FRESA,['Fuerza Regida'],SABOR FRESA,2023-06-22,1,156500,88
Mi Bello Angel,['Natanael Cano'],Nata Montana,2023-06-30,16,188666,0
"Peso Pluma: Bzrp Music Sessions, Vol. 55","['Bizarrap', 'Peso Pluma']","Peso Pluma: Bzrp Music Sessions, Vol. 55",2023-06-01,1,188361,98
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","['Bizarrap', 'Rauw Alejandro']","Rauw Alejandro: Bzrp Music Sessions, Vol. 56",2023-06-21,1,191254,90
Classy 101,"['Feid', 'Young Miko']",Classy 101,2023-03-31,1,195986,97
TQM,['Fuerza Regida'],TQM,2023-05-19,1,158965,95
Endless Fashion (feat. Nicki Minaj),"['Lil Uzi Vert', 'Nicki Minaj']",Pink Tape,2023-06-30,26,216703,0
Calm Down (with Selena Gomez),"['Rema', 'Selena Gomez']",Rave & Roses Ultra,2023-04-27,22,239317,83
TQG,"['KAROL G', 'Shakira']",MAÑANA SERÁ BONITO,2023-02-24,17,197933,95
Crush Em,['Lil Uzi Vert'],Pink Tape,2023-06-30,26,165589,0
LUNA,"['Peso Pluma', 'Junior H']",GÉNESIS,2023-06-29,17,163551,0
Sunflower - Spider-Man: Into the Spider-Verse,"['Post Malone', 'Swae Lee']",Hollywood's Bleeding,2019-09-06,17,157560,88
I Wanna Be Yours,['Arctic Monkeys'],AM,2013-09-09,12,183956,95
Last Night,['Morgan Wallen'],One Thing At A Time,2023-03-03,36,163854,90
Angels Like You,['Miley Cyrus'],Plastic Hearts,2020-11-27,15,196453,94
fukumean,['Gunna'],a Gift & a Curse,2023-06-16,15,125040,88
Anti-Hero,['Taylor Swift'],Midnights,2022-10-21,13,200690,95
Creepin' (with The Weeknd & 21 Savage),"['Metro Boomin', 'The Weeknd', '21 Savage']",HEROES & VILLAINS,2022-12-02,15,221520,96
Los del Espacio,"['LIT killah', 'Tiago PZK', 'Maria Becerra', 'Duki', 'Emilia', 'Rusherking', 'Big One', 'FMK']",Los del Espacio,2023-06-01,1,338000,94
x2,['Lil Uzi Vert'],Pink Tape,2023-06-30,26,234324,0
AMG,"['Natanael Cano', 'Peso Pluma', 'Gabito Ballesteros']",Nata Montana,2023-06-30,16,174942,0
Like Crazy,['Jimin'],FACE,2023-03-24,6,212241,95
I'm Good (Blue),"['David Guetta', 'Bebe Rexha']",I'm Good (Blue),2022-08-26,2,175238,95
Blank Space,['Taylor Swift'],1989,2014-10-27,13,231826,83
Eres,"['Natanael Cano', 'Junior H']",Nata Montana,2023-06-30,16,172360,0
Amped,['Lil Uzi Vert'],Pink Tape,2023-06-30,26,173061,0
See You Again (feat. Kali Uchis),"['Tyler, The Creator', 'Kali Uchis']",Flower Boy,2017-07-21,14,180386,96
El Azul,"['Junior H', 'Peso Pluma']",El Azul,2023-02-10,1,187225,95
I Gotta,['Lil Uzi Vert'],Pink Tape,2023-06-30,26,173025,0
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,"['The Weeknd', 'Playboi Carti', 'Madonna']",Popular (Music from the HBO Original Series),2023-06-02,1,215466,66
Barbie World (with Aqua) [From Barbie The Album],"['Nicki Minaj', 'Ice Spice', 'Aqua']",Barbie World (with Aqua) [From Barbie The Album],2023-06-23,1,109750,85
Tá OK,"['DENNIS', 'MC Kevin o Chris']",Tá OK,2023-05-04,1,92093,92
Copa Vacía,"['Shakira', 'Manuel Turizo']",Copa Vacía,2023-06-29,1,173547,0
vampire,['Olivia Rodrigo'],vampire,2023-06-30,1,219724,85
Ella Baila Sola,"['Eslabon Armado', 'Peso Pluma']",DESVELADO,2023-04-28,16,165671,94
Cruel Summer,['Taylor Swift'],Lover,2019-08-23,18,178426,97
WHERE SHE GOES,['Bad Bunny'],WHERE SHE GOES,2023-05-18,1,231704,99
La Bebe - Remix,"['Yng Lvcas', 'Peso Pluma']",La Bebe (Remix),2023-03-17,2,234352,100
un x100to,"['Grupo Frontera', 'Bad Bunny']",un x100to,2023-04-17,1,194563,99
Flowers,['Miley Cyrus'],Endless Summer Vacation,2023-03-10,13,200600,91
LADY GAGA,"['Peso Pluma', 'Gabito Ballesteros', 'Junior H']",GÉNESIS,2023-06-29,17,212878,55
As It Was,['Harry Styles'],Harry's House,2022-05-20,13,167303,94
Cupid - Twin Ver.,['FIFTY FIFTY'],The Beginning: Cupid,2023-02-24,3,174253,99
Daylight,['David Kushner'],Daylight,2023-04-14,1,212953,98
Kill Bill,['SZA'],SOS,2022-12-08,23,153946,94
MOJABI GHOST,"['Tainy', 'Bad Bunny']",DATA,2023-06-29,19,232131,78
Sprinter,"['Dave', 'Central Cee']",Sprinter,2023-06-01,1,229133,95
SABOR FRESA,['Fuerza Regida'],SABOR FRESA,2023-06-22,1,156500,89
"Peso Pluma: Bzrp Music Sessions, Vol. 55","['Bizarrap', 'Peso Pluma']","Peso Pluma: Bzrp Music Sessions, Vol. 55",2023-06-01,1,188361,98
Classy 101,"['Feid', 'Young Miko']",Classy 101,2023-03-31,1,195986,97
TQM,['Fuerza Regida'],TQM,2023-05-19,1,158965,95
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","['Bizarrap', 'Rauw Alejandro']","Rauw Alejandro: Bzrp Music Sessions, Vol. 56",2023-06-21,1,191254,90
TQG,"['KAROL G', 'Shakira']",MAÑANA SERÁ BONITO,2023-02-24,17,197933,95
El Azul,"['Junior H', 'Peso Pluma']",El Azul,2023-02-10,1,187225,95
Calm Down (with Selena Gomez),"['Rema', 'Selena Gomez']",Rave & Roses Ultra,2023-04-27,22,239317,83
Flooded The Face,['Lil Uzi Vert'],Pink Tape,2023-06-30,26,192727,79
Last Night,['Morgan Wallen'],One Thing At A Time,2023-03-03,36,163854,90
I Wanna Be Yours,['Arctic Monkeys'],AM,2013-09-09,12,183956,95
Sunflower - Spider-Man: Into the Spider-Verse,"['Post Malone', 'Swae Lee']",Hollywood's Bleeding,2019-09-06,17,157560,88
Tá OK,"['DENNIS', 'MC Kevin o Chris']",Tá OK,2023-05-04,1,92093,92
fukumean,['Gunna'],a Gift & a Curse,2023-06-16,15,125040,89
Angels Like You,['Miley Cyrus'],Plastic Hearts,2020-11-27,15,196453,95
TULUM,"['Peso Pluma', 'Grupo Frontera']",GÉNESIS,2023-06-29,17,209415,71
LUNA,"['Peso Pluma', 'Junior H']",GÉNESIS,2023-06-29,17,163551,55
Creepin' (with The Weeknd & 21 Savage),"['Metro Boomin', 'The Weeknd', '21 Savage']",HEROES & VILLAINS,2022-12-02,15,221520,96
LALA,['Myke Towers'],LA VIDA ES UNA,2023-03-23,23,197920,82
Anti-Hero,['Taylor Swift'],Midnights,2022-10-21,13,200690,95
Los del Espacio,"['LIT killah', 'Tiago PZK', 'Maria Becerra', 'Duki', 'Emilia', 'Rusherking', 'Big One', 'FMK']",Los del Espacio,2023-06-01,1,338000,94
Like Crazy,['Jimin'],FACE,2023-03-24,6,212241,95
I'm Good (Blue),"['David Guetta', 'Bebe Rexha']",I'm Good (Blue),2022-08-26,2,175238,95
Frágil,"['Yahritza Y Su Esencia', 'Grupo Frontera']",Frágil,2023-04-07,1,160517,94
Blank Space,['Taylor Swift'],1989,2014-10-27,13,231826,83
See You Again (feat. Kali Uchis),"['Tyler, The Creator', 'Kali Uchis']",Flower Boy,2017-07-21,14,180386,96
I Ain't Worried,['OneRepublic'],"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",2022-05-13,1,148485,95
Die For You (with Ariana Grande) - Remix,"['The Weeknd', 'Ariana Grande']",Starboy (Deluxe),2023-03-14,21,232857,88
Die For You,['The Weeknd'],Starboy,2016-11-24,18,260253,92
Style,['Taylor Swift'],1989,2014-10-27,13,231000,83
Baby Don't Hurt Me,"['David Guetta', 'Anne-Marie', 'Coi Leray']",Baby Don't Hurt Me,2023-04-06,2,140017,94
La Bachata,['Manuel Turizo'],2000,2023-03-17,15,162637,88
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,"['The Weeknd', 'Playboi Carti', 'Madonna']",Popular (Music from the HBO Original Series),2023-06-02,1,215466,75
BESO,"['ROSALÍA', 'Rauw Alejandro']",RR,2023-03-24,3,194543,96
AMG,"['Natanael Cano', 'Peso Pluma', 'Gabito Ballesteros']",Nata Montana,2023-06-30,16,174942,66
Barbie World (with Aqua) [From Barbie The Album],"['Nicki Minaj', 'Ice Spice', 'Aqua']",Barbie World (with Aqua) [From Barbie The Album],2023-06-23,1,109750,86
vampire,['Olivia Rodrigo'],vampire,2023-06-30,1,219724,88
Ella Baila Sola,"['Eslabon Armado', 'Peso Pluma']",DESVELADO,2023-04-28,16,165671,94
Cruel Summer,['Taylor Swift'],Lover,2019-08-23,18,178426,97
WHERE SHE GOES,['Bad Bunny'],WHERE SHE GOES,2023-05-18,1,231704,99
La Bebe - Remix,"['Yng Lvcas', 'Peso Pluma']",La Bebe (Remix),2023-03-17,2,234352,100
un x100to,"['Grupo Frontera', 'Bad Bunny']",un x100to,2023-04-17,1,194563,99
Flowers,['Miley Cyrus'],Endless Summer Vacation,2023-03-10,13,200600,91
Daylight,['David Kushner'],Daylight,2023-04-14,1,212953,98
Cupid - Twin Ver.,['FIFTY FIFTY'],The Beginning: Cupid,2023-02-24,3,174253,99
As It Was,['Harry Styles'],Harry's House,2022-05-20,13,167303,94
LADY GAGA,"['Peso Pluma', 'Gabito Ballesteros', 'Junior H']",GÉNESIS,2023-06-29,17,212878,76
Kill Bill,['SZA'],SOS,2022-12-08,23,153946,94
MOJABI GHOST,"['Tainy', 'Bad Bunny']",DATA,2023-06-29,19,232131,82
Sprinter,"['Dave', 'Central Cee']",Sprinter,2023-06-01,1,229133,95
SABOR FRESA,['Fuerza Regida'],SABOR FRESA,2023-06-22,1,156500,89
"Peso Pluma: Bzrp Music Sessions, Vol. 55","['Bizarrap', 'Peso Pluma']","Peso Pluma: Bzrp Music Sessions, Vol. 55",2023-06-01,1,188361,98
Classy 101,"['Feid', 'Young Miko']",Classy 101,2023-03-31,1,195986,97
TQM,['Fuerza Regida'],TQM,2023-05-19,1,158965,95
El Azul,"['Junior H', 'Peso Pluma']",El Azul,2023-02-10,1,187225,95
I Wanna Be Yours,['Arctic Monkeys'],AM,2013-09-09,12,183956,95
Like Crazy,['Jimin'],FACE,2023-03-24,6,212241,95
Calm Down (with Selena Gomez),"['Rema', 'Selena Gomez']",Rave & Roses Ultra,2023-04-27,22,239317,83
TULUM,"['Peso Pluma', 'Grupo Frontera']",GÉNESIS,2023-06-29,17,209415,77
LALA,['Myke Towers'],LA VIDA ES UNA,2023-03-23,23,197920,84
Sunflower - Spider-Man: Into the Spider-Verse,"['Post Malone', 'Swae Lee']",Hollywood's Bleeding,2019-09-06,17,157560,88
TQG,"['KAROL G', 'Shakira']",MAÑANA SERÁ BONITO,2023-02-24,17,197933,95
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","['Bizarrap', 'Rauw Alejandro']","Rauw Alejandro: Bzrp Music Sessions, Vol. 56",2023-06-21,1,191254,91
Last Night,['Morgan Wallen'],One Thing At A Time,2023-03-03,36,163854,90
Angels Like You,['Miley Cyrus'],Plastic Hearts,2020-11-27,15,196453,95
fukumean,['Gunna'],a Gift & a Curse,2023-06-16,15,125040,89
Creepin' (with The Weeknd & 21 Savage),"['Metro Boomin', 'The Weeknd', '21 Savage']",HEROES & VILLAINS,2022-12-02,15,221520,96
See You Again (feat. Kali Uchis),"['Tyler, The Creator', 'Kali Uchis']",Flower Boy,2017-07-21,14,180386,96
Anti-Hero,['Taylor Swift'],Midnights,2022-10-21,13,200690,95
Los del Espacio,"['LIT killah', 'Tiago PZK', 'Maria Becerra', 'Duki', 'Emilia', 'Rusherking', 'Big One', 'FMK']",Los del Espacio,2023-06-01,1,338000,94
Blank Space,['Taylor Swift'],1989,2014-10-27,13,231826,84
Frágil,"['Yahritza Y Su Esencia', 'Grupo Frontera']",Frágil,2023-04-07,1,160517,94
Die For You,['The Weeknd'],Starboy,2016-11-24,18,260253,92
Die For You (with Ariana Grande) - Remix,"['The Weeknd', 'Ariana Grande']",Starboy (Deluxe),2023-03-14,21,232857,88
LUNA,"['Peso Pluma', 'Junior H']",GÉNESIS,2023-06-29,17,163551,73
Style,['Taylor Swift'],1989,2014-10-27,13,231000,83
I'm Good (Blue),"['David Guetta', 'Bebe Rexha']",I'm Good (Blue),2022-08-26,2,175238,95
I Ain't Worried,['OneRepublic'],"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",2022-05-13,1,148485,95
Tá OK,"['DENNIS', 'MC Kevin o Chris']",Tá OK,2023-05-04,1,92093,92
Starboy,"['The Weeknd', 'Daft Punk']",Starboy,2016-11-25,18,230453,94
Flooded The Face,['Lil Uzi Vert'],Pink Tape,2023-06-30,26,192727,82
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,"['The Weeknd', 'Playboi Carti', 'Madonna']",Popular (Music from the HBO Original Series),2023-06-02,1,215466,79
Another Love,['Tom Odell'],Long Way Down (Deluxe),2013-06-24,15,244360,93
La Bachata,['Manuel Turizo'],2000,2023-03-17,15,162637,88
Baby Don't Hurt Me,"['David Guetta', 'Anne-Marie', 'Coi Leray']",Baby Don't Hurt Me,2023-04-06,2,140017,94
Barbie World (with Aqua) [From Barbie The Album],"['Nicki Minaj', 'Ice Spice', 'Aqua']",Barbie World (with Aqua) [From Barbie The Album],2023-06-23,1,109750,87
vampire,['Olivia Rodrigo'],vampire,2023-06-30,1,219724,91
Cruel Summer,['Taylor Swift'],Lover,2019-08-23,18,178426,97
Ella Baila Sola,"['Eslabon Armado', 'Peso Pluma']",DESVELADO,2023-04-28,16,165671,94
WHERE SHE GOES,['Bad Bunny'],WHERE SHE GOES,2023-05-18,1,231704,99
Flowers,['Miley Cyrus'],Endless Summer Vacation,2023-03-10,13,200600,91
La Bebe - Remix,"['Yng Lvcas', 'Peso Pluma']",La Bebe (Remix),2023-03-17,2,234352,100
un x100to,"['Grupo Frontera', 'Bad Bunny']",un x100to,2023-04-17,1,194563,99
Daylight,['David Kushner'],Daylight,2023-04-14,1,212953,98
As It Was,['Harry Styles'],Harry's House,2022-05-20,13,167303,94
Kill Bill,['SZA'],SOS,2022-12-08,23,153946,94
Cupid - Twin Ver.,['FIFTY FIFTY'],The Beginning: Cupid,2023-02-24,3,174253,99
Sprinter,"['Dave', 'Central Cee']",Sprinter,2023-06-01,1,229133,95
MOJABI GHOST,"['Tainy', 'Bad Bunny']",DATA,2023-06-29,19,232131,86
LADY GAGA,"['Peso Pluma', 'Gabito Ballesteros', 'Junior H']",GÉNESIS,2023-06-29,17,212878,80
Still With You,['Jung Kook'],Still With You,2020-06-05,1,239905,0
LALA,['Myke Towers'],LA VIDA ES UNA,2023-03-23,23,197920,85
Like Crazy,['Jimin'],FACE,2023-03-24,6,212241,95
Classy 101,"['Feid', 'Young Miko']",Classy 101,2023-03-31,1,195986,97
SABOR FRESA,['Fuerza Regida'],SABOR FRESA,2023-06-22,1,156500,90
"Peso Pluma: Bzrp Music Sessions, Vol. 55","['Bizarrap', 'Peso Pluma']","Peso Pluma: Bzrp Music Sessions, Vol. 55",2023-06-01,1,188361,98
I Wanna Be Yours,['Arctic Monkeys'],AM,2013-09-09,12,183956,96
fukumean,['Gunna'],a Gift & a Curse,2023-06-16,15,125040,90
TULUM,"['Peso Pluma', 'Grupo Frontera']",GÉNESIS,2023-06-29,17,209415,80
Calm Down (with Selena Gomez),"['Rema', 'Selena Gomez']",Rave & Roses Ultra,2023-04-27,22,239317,83
Sunflower - Spider-Man: Into the Spider-Verse,"['Post Malone', 'Swae Lee']",Hollywood's Bleeding,2019-09-06,17,157560,88
Angels Like You,['Miley Cyrus'],Plastic Hearts,2020-11-27,15,196453,95
Creepin' (with The Weeknd & 21 Savage),"['Metro Boomin', 'The Weeknd', '21 Savage']",HEROES & VILLAINS,2022-12-02,15,221520,96
TQM,['Fuerza Regida'],TQM,2023-05-19,1,158965,95
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","['Bizarrap', 'Rauw Alejandro']","Rauw Alejandro: Bzrp Music Sessions, Vol. 56",2023-06-21,1,191254,91
Last Night,['Morgan Wallen'],One Thing At A Time,2023-03-03,36,163854,90
TQG,"['KAROL G', 'Shakira']",MAÑANA SERÁ BONITO,2023-02-24,17,197933,95
Los del Espacio,"['LIT killah', 'Tiago PZK', 'Maria Becerra', 'Duki', 'Emilia', 'Rusherking', 'Big One', 'FMK']",Los del Espacio,2023-06-01,1,338000,94
Anti-Hero,['Taylor Swift'],Midnights,2022-10-21,13,200690,95
See You Again (feat. Kali Uchis),"['Tyler, The Creator', 'Kali Uchis']",Flower Boy,2017-07-21,14,180386,96
El Azul,"['Junior H', 'Peso Pluma']",El Azul,2023-02-10,1,187225,95
Blank Space,['Taylor Swift'],1989,2014-10-27,13,231826,84
I'm Good (Blue),"['David Guetta', 'Bebe Rexha']",I'm Good (Blue),2022-08-26,2,175238,95
Die For You,['The Weeknd'],Starboy,2016-11-24,18,260253,92
Style,['Taylor Swift'],1989,2014-10-27,13,231000,83
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,"['The Weeknd', 'Playboi Carti', 'Madonna']",Popular (Music from the HBO Original Series),2023-06-02,1,215466,81
I Ain't Worried,['OneRepublic'],"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",2022-05-13,1,148485,95
Die For You (with Ariana Grande) - Remix,"['The Weeknd', 'Ariana Grande']",Starboy (Deluxe),2023-03-14,21,232857,88
Take Two,['BTS'],Take Two,2023-06-09,1,229953,95
Starboy,"['The Weeknd', 'Daft Punk']",Starboy,2016-11-25,18,230453,94
Another Love,['Tom Odell'],Long Way Down (Deluxe),2013-06-24,15,244360,93
Left and Right (Feat. Jung Kook of BTS),"['Charlie Puth', 'Jung Kook', 'BTS']",CHARLIE,2022-10-06,12,154486,87
Frágil,"['Yahritza Y Su Esencia', 'Grupo Frontera']",Frágil,2023-04-07,1,160517,94
LUNA,"['Peso Pluma', 'Junior H']",GÉNESIS,2023-06-29,17,163551,77
Baby Don't Hurt Me,"['David Guetta', 'Anne-Marie', 'Coi Leray']",Baby Don't Hurt Me,2023-04-06,2,140017,94
BABY HELLO,"['Rauw Alejandro', 'Bizarrap']",BABY HELLO,2023-06-23,1,222461,87
vampire,['Olivia Rodrigo'],vampire,2023-06-30,1,219724,92
Cruel Summer,['Taylor Swift'],Lover,2019-08-23,18,178426,98
Ella Baila Sola,"['Eslabon Armado', 'Peso Pluma']",DESVELADO,2023-04-28,16,165671,94
WHERE SHE GOES,['Bad Bunny'],WHERE SHE GOES,2023-05-18,1,231704,99
Flowers,['Miley Cyrus'],Endless Summer Vacation,2023-03-10,13,200600,91
La Bebe - Remix,"['Yng Lvcas', 'Peso Pluma']",La Bebe (Remix),2023-03-17,2,234352,100
un x100to,"['Grupo Frontera', 'Bad Bunny']",un x100to,2023-04-17,1,194563,99
Daylight,['David Kushner'],Daylight,2023-04-14,1,212953,98
As It Was,['Harry Styles'],Harry's House,2022-05-20,13,167303,94
LALA,['Myke Towers'],LA VIDA ES UNA,2023-03-23,23,197920,86
Kill Bill,['SZA'],SOS,2022-12-08,23,153946,95
Cupid - Twin Ver.,['FIFTY FIFTY'],The Beginning: Cupid,2023-02-24,3,174253,99
Sprinter,"['Dave', 'Central Cee']",Sprinter,2023-06-01,1,229133,96
MOJABI GHOST,"['Tainy', 'Bad Bunny']",DATA,2023-06-29,19,232131,86
LADY GAGA,"['Peso Pluma', 'Gabito Ballesteros', 'Junior H']",GÉNESIS,2023-06-29,17,212878,83
Like Crazy,['Jimin'],FACE,2023-03-24,6,212241,95
Classy 101,"['Feid', 'Young Miko']",Classy 101,2023-03-31,1,195986,97
"Peso Pluma: Bzrp Music Sessions, Vol. 55","['Bizarrap', 'Peso Pluma']","Peso Pluma: Bzrp Music Sessions, Vol. 55",2023-06-01,1,188361,98
SABOR FRESA,['Fuerza Regida'],SABOR FRESA,2023-06-22,1,156500,90
fukumean,['Gunna'],a Gift & a Curse,2023-06-16,15,125040,90
Calm Down (with Selena Gomez),"['Rema', 'Selena Gomez']",Rave & Roses Ultra,2023-04-27,22,239317,83
I Wanna Be Yours,['Arctic Monkeys'],AM,2013-09-09,12,183956,96
TULUM,"['Peso Pluma', 'Grupo Frontera']",GÉNESIS,2023-06-29,17,209415,82
Sunflower - Spider-Man: Into the Spider-Verse,"['Post Malone', 'Swae Lee']",Hollywood's Bleeding,2019-09-06,17,157560,88
TQG,"['KAROL G', 'Shakira']",MAÑANA SERÁ BONITO,2023-02-24,17,197933,95
Angels Like You,['Miley Cyrus'],Plastic Hearts,2020-11-27,15,196453,95
Creepin' (with The Weeknd & 21 Savage),"['Metro Boomin', 'The Weeknd', '21 Savage']",HEROES & VILLAINS,2022-12-02,15,221520,96
Last Night,['Morgan Wallen'],One Thing At A Time,2023-03-03,36,163854,90
TQM,['Fuerza Regida'],TQM,2023-05-19,1,158965,96
Los del Espacio,"['LIT killah', 'Tiago PZK', 'Maria Becerra', 'Duki', 'Emilia', 'Rusherking', 'Big One', 'FMK']",Los del Espacio,2023-06-01,1,338000,94
Blank Space,['Taylor Swift'],1989,2014-10-27,13,231826,84
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","['Bizarrap', 'Rauw Alejandro']","Rauw Alejandro: Bzrp Music Sessions, Vol. 56",2023-06-21,1,191254,91
Still With You,['Jung Kook'],Still With You,2020-06-05,1,239905,78
Anti-Hero,['Taylor Swift'],Midnights,2022-10-21,13,200690,95
See You Again (feat. Kali Uchis),"['Tyler, The Creator', 'Kali Uchis']",Flower Boy,2017-07-21,14,180386,96
I'm Good (Blue),"['David Guetta', 'Bebe Rexha']",I'm Good (Blue),2022-08-26,2,175238,95
I Ain't Worried,['OneRepublic'],"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",2022-05-13,1,148485,95
El Azul,"['Junior H', 'Peso Pluma']",El Azul,2023-02-10,1,187225,95
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,"['The Weeknd', 'Playboi Carti', 'Madonna']",Popular (Music from the HBO Original Series),2023-06-02,1,215466,82
Die For You,['The Weeknd'],Starboy,2016-11-24,18,260253,92
Die For You (with Ariana Grande) - Remix,"['The Weeknd', 'Ariana Grande']",Starboy (Deluxe),2023-03-14,21,232857,88
Style,['Taylor Swift'],1989,2014-10-27,13,231000,83
Starboy,"['The Weeknd', 'Daft Punk']",Starboy,2016-11-25,18,230453,94
Another Love,['Tom Odell'],Long Way Down (Deluxe),2013-06-24,15,244360,94
Baby Don't Hurt Me,"['David Guetta', 'Anne-Marie', 'Coi Leray']",Baby Don't Hurt Me,2023-04-06,2,140017,94
Frágil,"['Yahritza Y Su Esencia', 'Grupo Frontera']",Frágil,2023-04-07,1,160517,94
El Cielo,"['Sky Rompiendo', 'Feid', 'Myke Towers']",El Cielo,2023-06-02,1,191320,93
BABY HELLO,"['Rauw Alejandro', 'Bizarrap']",BABY HELLO,2023-06-23,1,222461,88
BESO,"['ROSALÍA', 'Rauw Alejandro']",RR,2023-03-24,3,194543,96
La Bachata,['Manuel Turizo'],2000,2023-03-17,15,162637,88
vampire,['Olivia Rodrigo'],vampire,2023-06-30,1,219724,93
Cruel Summer,['Taylor Swift'],Lover,2019-08-23,18,178426,98
Ella Baila Sola,"['Eslabon Armado', 'Peso Pluma']",DESVELADO,2023-04-28,16,165671,94
WHERE SHE GOES,['Bad Bunny'],WHERE SHE GOES,2023-05-18,1,231704,99
LALA,['Myke Towers'],LA VIDA ES UNA,2023-03-23,23,197920,87
Flowers,['Miley Cyrus'],Endless Summer Vacation,2023-03-10,13,200600,91
La Bebe - Remix,"['Yng Lvcas', 'Peso Pluma']",La Bebe (Remix),2023-03-17,2,234352,100
un x100to,"['Grupo Frontera', 'Bad Bunny']",un x100to,2023-04-17,1,194563,99
Daylight,['David Kushner'],Daylight,2023-04-14,1,212953,98
As It Was,['Harry Styles'],Harry's House,2022-05-20,13,167303,94
Kill Bill,['SZA'],SOS,2022-12-08,23,153946,95
Sprinter,"['Dave', 'Central Cee']",Sprinter,2023-06-01,1,229133,96
Cupid - Twin Ver.,['FIFTY FIFTY'],The Beginning: Cupid,2023-02-24,3,174253,99
MOJABI GHOST,"['Tainy', 'Bad Bunny']",DATA,2023-06-29,19,232131,87
LADY GAGA,"['Peso Pluma', 'Gabito Ballesteros', 'Junior H']",GÉNESIS,2023-06-29,17,212878,85
Classy 101,"['Feid', 'Young Miko']",Classy 101,2023-03-31,1,195986,97
"Peso Pluma: Bzrp Music Sessions, Vol. 55","['Bizarrap', 'Peso Pluma']","Peso Pluma: Bzrp Music Sessions, Vol. 55",2023-06-01,1,188361,98
I Wanna Be Yours,['Arctic Monkeys'],AM,2013-09-09,12,183956,96
fukumean,['Gunna'],a Gift & a Curse,2023-06-16,15,125040,90
Like Crazy,['Jimin'],FACE,2023-03-24,6,212241,95
Calm Down (with Selena Gomez),"['Rema', 'Selena Gomez']",Rave & Roses Ultra,2023-04-27,22,239317,83
SABOR FRESA,['Fuerza Regida'],SABOR FRESA,2023-06-22,1,156500,91
TQG,"['KAROL G', 'Shakira']",MAÑANA SERÁ BONITO,2023-02-24,17,197933,95
Angels Like You,['Miley Cyrus'],Plastic Hearts,2020-11-27,15,196453,95
Creepin' (with The Weeknd & 21 Savage),"['Metro Boomin', 'The Weeknd', '21 Savage']",HEROES & VILLAINS,2022-12-02,15,221520,96
Sunflower - Spider-Man: Into the Spider-Verse,"['Post Malone', 'Swae Lee']",Hollywood's Bleeding,2019-09-06,17,157560,88
